pubmed_id,title,abstract
35785746,"""Haemophilia A"" - Presenting with oral squamous cell carcinoma diagnosis and management strategies.","Hemophilia is a hereditary disorder of coagulation that results in deficiency of factor VIII (Hemophilia A) or Factor IX (Hemophilia B) with characteristic X linked mode of inheritance, almost exclusively seen in males while females are asymptomatic carriers.The common clinical manifestation in both is prolonged bleeding on trivial trauma, mainly into larger joints or muscles. Life threatening bleeding episodes can result spontaneously or from trauma to the head or internal organs. Replacement of deficient clotting protein, known as Anti Hemophilic Factor (AHF) is the main stay in the treatment of haemophilia. Any Surgical treatment of these patients is to be planned in Institution hospital where comprehensive care is available. The availability of AHF has enabled surgeons to take up surgeries in patients with haemophilia. We discuss PWH with congenital factor VIII deficiency presented with oral squamous cell carcinoma of left side lower jaw with main aim is to provide insight into surgical management and care protocol of these patients."
35478183,Case-Control Study to Evaluate the Oral Hygiene Habits in 31 Children with Hemophilia in Bulgaria Using the Oral Health Impact Profile-14 (OHIP-14) Questionnaire.,"BACKGROUND For patients with hereditary coagulopathies such as hemophilia, the most common dental problem is spontaneous oral bleeding caused by daily oral hygiene habits like tooth brushing. Because of fear of bleeding, children with hemophilia often skip routine oral hygiene procedures, which can lead to dental caries and periodontal diseases. This case control study aimed to evaluate the oral hygiene awareness and hygiene practices of children with hemophilia from 6 to 18 years of age in Bulgaria. MATERIAL AND METHODS This study was conducted over 4 years and included 31 patients (children). A sociological approach was used, with direct individual questionnaires for self-assessment of dental habits. Statistical analyses were performed using SPSS. RESULTS There was no significant difference between groups in methods of oral hygiene. The duration of oral hygiene procedures was 1 min (n=5, 16.13±6.61%) or 2 min (n=13, 41.94±8.86%), which was considered insufficient for proper oral hygiene. Children who had received oral hygiene advice by a dentist brushed their teeth significantly longer (n=9, 69.23±12.80%) than those who had not. There was a considerable difference between the reasons for the last dental visit between the groups of children (χ²=5.18, P."
34434677,A Case of Acquired Hemophilia A Following SARS-CoV-2 Infection.,"Acquired hemophilia A (AHA) is a rare bleeding disorder caused by antibodies against coagulation factor VIII. The majority of AHA cases are reported in an elderly population with chronic co-morbidities but can also be associated with other conditions, drugs, infections, and pregnancy. AHA is likely under-diagnosed and often unrecognized due to limited data about incidence, diagnosis, and management. We report a patient with no significant medical history who developed spontaneous ecchymoses and hematomas after a recent severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection complicated by a pulmonary embolism. These skin manifestations were initially thought to be related to the use of the direct oral anticoagulant apixaban, but further investigation revealed the presence of factor VIII inhibitors confirming the diagnosis of AHA. The patient was treated with prednisone and cyclophosphamide to eradicate the inhibitors with excellent response. Literature review shows a few cases of AHA after coronavirus disease 2019 (COVID-19) vaccination, H1N1 vaccination, and two cases after COVID-19 infection."
34423003,Current therapeutic approaches in the management of hemophilia-a consensus view by the Romanian Society of Hematology.,"Hemophilia A (HA) and hemophilia B (HB) are rare disorders, being caused by the total lack or under-expression of two factors from the coagulation cascade coded by genes of the X chromosome. Thus, in hemophilic patients, the blood does not clot properly. This results in spontaneous bleeding episodes after an injury or surgical intervention. A patient-centered regimen is considered optimal. Age, pharmacokinetics, bleeding phenotype, joint status, adherence, physical activity, personal goals are all factors that should be considered when individualizing therapy. In the past 10 years, many innovations in the diagnostic and treatment options were presented as being either approved or in development, thus helping clinicians to improve the standard-of-care for patients with hemophilia. Recombinant factors still remain the standard of care in hemophilia, however they pose a challenge to treatment adherence because they have short half-life, which where the extended half-life (EHL) factors come with the solution, increasing the half-life to 96 hours. Gene therapies have a promising future with proven beneficial effects in clinical trials. We present and critically analyze in the current manuscript the pros and cons of all the major discoveries in the diagnosis and treatment of HA and HB, as well as identify key areas of hemophilia research where improvements are needed."
33583426,Acquired hemophilia A that required surgical hemostasis of hematomas occupying oral cavity: a case report.,"Acquired hemophilia A is a rare coagulopathy caused by inhibitors of blood coagulation factor VIII. Patients with acquired hemophilia A have a higher mortality risk (5-10%) than those with congenital hemophilia. Moreover, there is no established evidence of management recommended for patients with acquired hemophilia A. Previous studies have reported the presence of hematomas in the oral cavities of patients with acquired hemophilia A, which were treated conservatively. Here, we describe the case of a patient with acquired hemophilia A, where emergency surgical hemostasis was required for large intraoral hematomas.
A 65-year-old Japanese man was referred to our hospital with a chief complaint of bleeding from large intraoral hematomas. On examination, he could not close his mouth because of the hematomas, which were bleeding spontaneously. Computed tomography angiography revealed no evidence of arteriovenous malformation, and blood test results showed that the activated partial thromboplastin time was elevated beyond the normal limit. To avoid a life-threatening hemorrhage from hematomas, emergency surgical hemostasis was performed with nasotracheal intubation using fiberoptic bronchoscopy. Hemostasis was successfully performed, as the hematomas were carefully removed. Moreover, the clinical course was successfully completed using intravenously administered activated prothrombin complex concentrate for hemostasis after operation.
Acquired hemophilia A can cause a life-threatening hemorrhage without predictive factors. Intraoral hematoma may cause airway obstruction. There is no consensus regarding the management of hemorrhage in patients with acquired hemophilia A. As shown here, exophytic hematomas in the oral cavity can be safely removed and nasotracheal intubation with fiberoptic bronchoscopy may be useful in patients with coagulopathy disease."
33390328,Evaluation of bleeding symptoms and laboratory parameters related to bleeding in sisters of patients with hemophilia A and B.,"Our purpose was to determine the bleeding risk of obligate and potential carriers, highlight the prophylactic applications before interventions for families and physicians.
Forty-six sisters who had at least one family member with hemophilia A or B were included. Laboratory parameters were tested.Bleeding tendency interrogated by a detailed questionnaire.The results were compared with 43 healthy female controls.
Mean factor activity levels were significantly lower in sisters than control subjects (p = 0,004). Bleeding score was higher in sisters than controls (p = 0.001). Prolonged bleeding after minor injury was significantly higher in the sisters than control subjects (p = 0.008). Requiring further treatment due to prolonged bleeding after tooth extraction was significantly higher in sisters (p = 0.001). Sisters had postpartum hemorrhage lasting longer than 6 weeks than controls (p = 0.025). Menstrual period lasted longer in the sisters than controls (p < 0.001). Spontaneous epistaxis, oral and gingival bleeding were more frequently observed in sisters whose factor activity levels were 60 % or below (p = 0.014 and p = 0.047, respectively). There was no statistically significant difference between the severity of hemophilia in the affected family member and the factor levels in the sisters (p = 0.398).Spontaneous epistaxis has found to be significantly associated with the hemophilia severity in the family (p = 0.004).
Clotting factor levels were found to be lower in the sisters and associated with spontaneous epistaxis, oral and gingival bleeding.Also, regardless of clotting factor levels, sisters significantly experienced more bleeding problems.Our study demonstrated the importance of taking precautions for prolonged bleeding in cases where medical interventions are inevitable in these patients."
33209799,Comparative analysis of oral health and treatment necessities in hemophilia individuals of Davangere population - A case control study.,"The integrated approach towards the oral care of individuals with special needs requires proper motivation and prophylactic guidance by primary health care professionals, including musculoskeletal support to psychological therapy. In developing countries like India, oral care is not of primary importance as oral hygiene practices are less performed by compromised individuals suffering from hemophilia. Here, primary health care professionals play a significant role. The present study was commenced to evaluate oral health and treatment necessities in hemophilic individuals of Davangere population, Karnataka.
The present study was conducted to assess and compare the oral hygiene, dentition status, and treatment needs of individuals with hemophilia.
Simplified Oral Hygiene Index (OHI-S), decayed, missed, filled tooth (DMFT) indices and treatment needs in 50 hemophiliac patients registered at Karnataka hemophilia society were evaluated along with an Oral health-related quality of life (OHR-QoL) questionnaire. They were matched with healthy controls of the same age and gender. The data was analyzed using t test and Chi square test.
The oral hygiene was fair in both hemophilic and healthy individuals with a mean value of 1.82 ± 0.79 and 1.83 ± 0.73, respectively. All the parameters such as OHIS, DMFT indices, and teatment needs were not statistically significant. The spontaneous oral bleeding was the only significant factor in OHR-Qol questionnaire.
The present study concluded that oral hygiene, dental caries prevalence, and treatment needs were similar in both hemophiliac and control groups. With proper guidance, motivation, and preventive care by primary health care professionals, it was relatively easy for individuals with congenital blood disorder (CBD) to maintain oral health-related quality of life in Davangere population, Karnataka."
32953190,Acquired Hemophilia A Presenting as Massive Postoperative Bleeding in a Patient with Oral Squamous Cell Carcinoma.,"Acquired hemophilia A (AHA) is an extremely rare and serious bleeding disorder caused by autoantibodies against coagulation factor VIII (FVIII). Approximately, 10% of patients with AHA have an underlying malignancy. We report on a 46-year-old man with AHA and advanced oral cancer who presented with massive bleeding after surgery. Preoperative blood coagulation tests showed no abnormalities. He underwent radical tumor resection followed by reconstruction using a free rectus abdominal musculocutaneous flap. Massive subcutaneous hemorrhage developed in his neck and abdomen on the first postoperative day. The hemorrhage remained uncontrolled, despite embolization of the responsible vessels. Subsequent laboratory data showed prolonged activated partial thromboplastin time and decreased FVIII levels. On the basis of his clinical course and the presence of the FVIII inhibitor, we speculated that the patient suffered from AHA. We administered recombinant activated factor VII and prednisolone, after which the spontaneous bleeding stopped and the subcutaneous hemorrhage resolved. A review of the literature identified only three previous documented cases of AHA associated with head and neck cancer. This case indicates that AHA should not be ruled out in patients with uncontrolled postoperative bleeding, while attempting to ensure bleeding control and preventing potentially catastrophic fatal consequences."
30904179,[Acquired autoimmune haemophilia: Where is the place of rituximab in the treatment strategy? Reflection from a monocentric series of 8 patients and literature review].,"Autoimmune acquired haemophilia is a rare autoimmune disease. The purpose of immunosuppressive therapy is to stop the production of autoantibodies that inhibit clotting factors VIII or IX. A corticosteroids-cyclophosphamide combination is recommanded as first-line therapy. From our experience at the University Hospital of Nîmes, we discuss the place of rituximab in the therapeutic arsenal.
We report a monocentric observational retrospective study. Our data are discussed in light of literature data, in particular cohorts EACH2 and SACHA.
Eight patients (7 with FVIII anibodies) were consecutively included from 2005. The average age was 68.5 years with a male predominance (62.5%). Bleeding manifestations were usually spontaneous and superficial. A pathology, mostly autoimmune or neoplastic, was associated in 5/8 patients. A ""by-pass"" haemostatic treatment was prescribed for 3/8 patients. Rituximab was prescribed for 5/8 patients, three times as first-line therapy, and always associated with corticosteroids. Three patients received a cyclophosphamid/cortisone combination, two were treated exclusively with oral corticosteroids. Remission was obtained in all patients, without subsequent relapse. The average time to obtain remission under rituximab (after the first injection) was 32.5 days (10-143). The results observed in our series of patients are consistent with the data from the literature.
Rituximab appears to be an effective and well-tolerated treatment for autoimmune acquired haemophilia. However, its place remains to be specified."
29362165,Preoperative Detailed Coagulation Tests Are Required in Patients With Noonan Syndrome.,"Patients with Noonan syndrome often require surgery at young ages. They are at high risk of perioperative bleeding from coagulation defects that might not have been detected by routine screening. These risks are rarely described in the oral and maxillofacial surgery (OMS) literature. The aim of this study was to evaluate the perioperative bleeding risks associated with Noonan syndrome and to propose preoperative guidelines.
This report describes a retrospective case series of patients with Noonan syndrome who underwent OMS procedures during a continuous observational period (2013 through 2016) in the authors' center. Clinical data, blood screening test results, and perioperative bleeding were analyzed.
Five patients (age, 4 to 20 yr) with Noonan syndrome who underwent OMS procedures were included in this study. One patient presented a spontaneous bleeding tendency (epistaxis requiring cauterization). Blood screening showed clotting defects in 3 patients. One patient presented abnormal perioperative bleeding owing to a mild defect in factor XI.
Patients with Noonan syndrome must be referred to a hematologist for specific preoperative investigations and for adapted perioperative management."
